age,career,lifestyle,choice,happiness,success,finance
26,Software Engineer,Balanced,World Explorer,81.35,69.35,62.99
20,Doctor,Adventure-seeker,Work-Life Balance,98.95,71.7,51.49
20,Finance,Minimalist,Entrepreneurship,65.42,90.24,70.71
52,Artist,Balanced,Academic Excellence,74.65,99.35,72.58
25,Writer,Adventure-seeker,Corporate Ladder,83.95,74.06,52.12
21,Marketing,Family-focused,Entrepreneurship,76.53,76.16,71.71
40,Marketing,Luxurious,Entrepreneurship,72.15,82.86,72.35
41,Doctor,Minimalist,Corporate Ladder,53.68,86.06,91.71
27,Writer,Balanced,Academic Excellence,82.17,77.35,59.78
34,Software Engineer,Luxurious,Academic Excellence,56.21,92.55,100.0
21,Lawyer,Balanced,Entrepreneurship,67.9,80.48,97.42
18,Doctor,Adventure-seeker,World Explorer,100.0,56.05,40.88
27,Teacher,Minimalist,Corporate Ladder,67.86,79.2,66.5
35,Doctor,Adventure-seeker,Creative Pursuit,97.46,79.58,50.9
50,Artist,Adventure-seeker,Entrepreneurship,89.06,75.31,59.61
21,Doctor,Luxurious,Creative Pursuit,70.27,76.81,70.75
46,Lawyer,Adventure-seeker,Creative Pursuit,87.55,87.71,66.69
52,Business Owner,Balanced,Corporate Ladder,55.7,100.0,100.0
45,Scientist,Career-driven,Academic Excellence,53.54,100.0,75.4
24,Business Owner,Adventure-seeker,Entrepreneurship,84.16,87.46,76.87
46,Finance,Minimalist,Creative Pursuit,90.53,83.89,64.5
27,Writer,Family-focused,World Explorer,100.0,54.3,42.02
55,Teacher,Minimalist,Corporate Ladder,72.18,89.93,88.99
52,Marketing,Family-focused,World Explorer,96.88,73.89,58.85
23,Marketing,Career-driven,Entrepreneurship,60.69,89.4,90.49
52,Doctor,Luxurious,World Explorer,91.21,69.99,90.45
20,Finance,Luxurious,World Explorer,94.84,72.14,80.97
52,Business Owner,Career-driven,Academic Excellence,45.62,100.0,100.0
53,Lawyer,Minimalist,Creative Pursuit,91.92,80.52,74.09
55,Artist,Career-driven,Academic Excellence,67.22,98.43,83.55
18,Software Engineer,Family-focused,Corporate Ladder,52.07,94.96,90.16
21,Lawyer,Minimalist,Corporate Ladder,55.62,94.6,82.09
50,Software Engineer,Family-focused,Entrepreneurship,84.86,82.64,100.0
39,Finance,Luxurious,Creative Pursuit,78.16,75.37,81.7
55,Lawyer,Minimalist,Creative Pursuit,91.87,86.33,73.01
53,Scientist,Family-focused,Entrepreneurship,65.69,75.15,73.69
44,Lawyer,Minimalist,Academic Excellence,66.19,85.89,80.29
52,Software Engineer,Balanced,Creative Pursuit,84.26,87.99,77.65
28,Doctor,Family-focused,Entrepreneurship,68.74,82.56,82.14
48,Teacher,Career-driven,Corporate Ladder,63.65,100.0,100.0
53,Teacher,Minimalist,World Explorer,98.21,61.99,50.83
47,Lawyer,Minimalist,Creative Pursuit,93.48,90.11,74.09
30,Software Engineer,Balanced,World Explorer,87.51,87.31,71.55
35,Software Engineer,Career-driven,Creative Pursuit,66.31,96.36,82.96
26,Finance,Minimalist,Academic Excellence,73.89,90.15,76.68
47,Lawyer,Family-focused,World Explorer,99.46,77.86,71.11
27,Artist,Family-focused,Creative Pursuit,100.0,61.03,47.44
49,Artist,Luxurious,Entrepreneurship,72.56,76.59,100.0
46,Software Engineer,Luxurious,World Explorer,94.44,78.17,82.06
30,Lawyer,Family-focused,Academic Excellence,75.04,89.03,74.77
23,Finance,Family-focused,Corporate Ladder,60.31,82.35,83.08
28,Lawyer,Career-driven,World Explorer,84.51,89.01,77.23
37,Writer,Family-focused,Academic Excellence,81.59,79.25,68.14
27,Teacher,Balanced,Entrepreneurship,73.15,77.88,61.82
18,Scientist,Balanced,Work-Life Balance,73.57,60.15,62.3
33,Marketing,Career-driven,Creative Pursuit,72.67,93.47,59.41
21,Writer,Adventure-seeker,World Explorer,100.0,55.18,26.43
32,Artist,Luxurious,Work-Life Balance,93.71,73.59,82.75
25,Artist,Minimalist,Entrepreneurship,87.87,59.39,41.63
35,Scientist,Adventure-seeker,World Explorer,100.0,64.45,42.82
49,Writer,Adventure-seeker,Creative Pursuit,100.0,80.24,42.67
34,Finance,Balanced,World Explorer,86.85,78.9,75.99
42,Software Engineer,Career-driven,Entrepreneurship,65.14,100.0,94.85
36,Scientist,Adventure-seeker,Work-Life Balance,98.57,70.09,56.87
22,Marketing,Adventure-seeker,Academic Excellence,84.08,64.72,49.36
47,Lawyer,Career-driven,Work-Life Balance,71.69,100.0,96.71
20,Doctor,Minimalist,World Explorer,95.12,59.57,46.48
43,Doctor,Balanced,Entrepreneurship,71.35,93.89,100.0
19,Marketing,Adventure-seeker,Entrepreneurship,74.33,57.51,48.15
21,Finance,Minimalist,World Explorer,95.19,66.36,51.2
41,Teacher,Adventure-seeker,Entrepreneurship,93.82,82.88,56.43
44,Artist,Minimalist,World Explorer,100.0,68.86,33.58
35,Teacher,Career-driven,Creative Pursuit,92.07,93.08,59.6
37,Software Engineer,Minimalist,Entrepreneurship,65.54,73.49,72.97
39,Finance,Family-focused,Corporate Ladder,59.61,88.84,100.0
45,Marketing,Minimalist,Work-Life Balance,76.19,61.69,72.21
28,Business Owner,Adventure-seeker,Corporate Ladder,62.92,85.6,78.54
48,Scientist,Balanced,Academic Excellence,56.88,84.86,72.46
41,Finance,Career-driven,Work-Life Balance,60.94,100.0,100.0
47,Lawyer,Luxurious,Creative Pursuit,72.92,90.97,99.25
48,Lawyer,Family-focused,Creative Pursuit,86.03,92.12,70.03
48,Software Engineer,Adventure-seeker,Academic Excellence,70.24,100.0,69.84
51,Lawyer,Minimalist,Creative Pursuit,85.67,78.26,77.38
30,Scientist,Minimalist,Creative Pursuit,96.25,62.42,37.28
51,Business Owner,Balanced,Creative Pursuit,78.45,89.4,85.94
20,Marketing,Luxurious,Work-Life Balance,77.45,50.82,79.33
22,Business Owner,Career-driven,Academic Excellence,51.49,100.0,100.0
51,Software Engineer,Family-focused,Creative Pursuit,93.51,92.14,64.02
50,Lawyer,Minimalist,Academic Excellence,61.12,95.59,84.8
39,Marketing,Balanced,Academic Excellence,67.42,84.46,85.43
26,Artist,Minimalist,Work-Life Balance,88.12,54.15,41.17
43,Marketing,Luxurious,Corporate Ladder,55.33,89.58,97.21
